 , , , ,o, , , , , ,x
 , , ,x, ,o, , , , , 
 , , , ,x, , , , ,o, 
 ,x, , , , , ,o, , , 
o, , , , , , , ,x, , 
 , ,o, , , , , , ,x, 
 , , , , ,x, , , , ,o
x, , , , , ,o, , , , 
 , , ,o, , , ,x, , , 
 , ,x, , , , , ,o, , 
 ,o, , , , ,x, , , , 
